"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2018";17,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2019";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2018";22,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2019";22,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2018";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże (chów klatkowy lub ściółkowy) - za 1 szt";"cena";"2019";0,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2018";3,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2019";3,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2018";6,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2019";5,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2018";7,66;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2019";7,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2018";202,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2019";187,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2018";4,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2019";5,14;"zł";"";
