"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2010";13,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2011";13,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2010";18,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2011";19,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2010";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2011";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2010";3,15;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2011";3,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";157,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";164,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2010";9,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2011";9,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2010";13,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2011";13,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2010";18,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2011";18,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2010";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2011";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2010";3,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2011";3,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";158,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";165,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2010";8,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2011";9,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2010";13,00;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2011";14,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2010";18,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2011";19,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2010";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2011";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2010";3,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2011";3,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";176,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";165,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2010";9,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2011";9,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2010";13,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2011";13,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2010";17,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2011";19,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"jaja kurze świeże - za 1szt";"cena";"2010";0,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"jaja kurze świeże - za 1szt";"cena";"2011";0,47;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2010";3,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2011";3,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2010";172,24;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2011";164,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 125ml";"cena";"2010";9,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 125ml";"cena";"2011";9,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2010";13,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2011";14,80;"zł";"";
