"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";12,27;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2006";14,96;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2007";15,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2006";2,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2007";2,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2006";4,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2007";4,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";134,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";124,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2006";8,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2007";8,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";11,83;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2006";14,77;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2007";15,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2006";2,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2007";2,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2006";4,68;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2007";4,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";134,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";124,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2006";8,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2007";8,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";11,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2006";14,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2007";15,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2006";2,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2007";2,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2006";4,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2007";5,02;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";130,06;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";121,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2006";9,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2007";8,90;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";11,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2006";15,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2007";15,71;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2006";2,59;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2007";2,74;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2006";4,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2007";5,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";129,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";121,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 125ml";"cena";"2006";9,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"pasta do zębów - za 125ml";"cena";"2007";8,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";12,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"ser dojrzewający - za 1kg";"cena";"2006";15,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"ser dojrzewający - za 1kg";"cena";"2007";15,61;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"margaryna - za 400 g";"cena";"2006";2,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"margaryna - za 400 g";"cena";"2007";2,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"kawa naturalna mielona - za 250g";"cena";"2006";4,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"kawa naturalna mielona - za 250g";"cena";"2007";5,14;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";126,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";121,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pasta do zębów - za 125ml";"cena";"2006";9,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"maj";"pasta do zębów - za 125ml";"cena";"2007";9,11;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";12,16;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2007";12,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"ser dojrzewający - za 1kg";"cena";"2006";14,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"ser dojrzewający - za 1kg";"cena";"2007";15,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"margaryna - za 400 g";"cena";"2006";2,64;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"margaryna - za 400 g";"cena";"2007";2,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kawa naturalna mielona - za 250g";"cena";"2006";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"kawa naturalna mielona - za 250g";"cena";"2007";5,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2006";126,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2007";123,46;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pasta do zębów - za 125ml";"cena";"2006";9,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"czerwiec";"pasta do zębów - za 125ml";"cena";"2007";9,22;"zł";"";
0200000;"DOLNOŚLĄSKIE";"lipiec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2006";12,91;"zł";"";
