"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2017";17,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2016";18,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2017";21,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2016";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2017";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2016";3,51;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2017";3,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2016";5,03;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2017";5,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2016";6,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2017";7,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2016";187,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2017";193,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2016";4,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2017";4,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 100 ml";"cena";"2016";8,31;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 100 ml";"cena";"2017";8,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2017";17,08;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2016";18,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2017";21,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2016";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2017";0,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2016";3,60;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2017";3,92;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2016";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2017";6,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2016";7,04;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2017";7,20;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2016";187,88;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2017";193,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"olej napędowy - za 1l";"cena";"2016";3,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"olej napędowy - za 1l";"cena";"2017";4,78;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 100 ml";"cena";"2016";8,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 100 ml";"cena";"2017";8,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2016";;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe bez kości (schab środkowy) - za 1 kg";"cena";"2017";16,44;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2016";18,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2017";20,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2016";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2017";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2016";3,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2017";3,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2016";4,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2017";5,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2016";7,04;"zł";"";
