"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2008";13,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2009";14,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2008";22,84;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2009";17,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2008";0,39;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2009";0,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2008";2,86;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2009";3,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2008";5,81;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2009";5,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";136,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";147,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2008";9,17;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 125ml";"cena";"2009";8,93;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2008";13,36;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2009";14,34;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2008";22,21;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2009";17,27;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2008";0,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2009";0,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2008";2,87;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2009";3,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2008";5,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2009";5,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";135,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";147,05;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2008";9,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 125ml";"cena";"2009";8,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2008";13,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2009";14,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2008";20,79;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2009";17,33;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2008";0,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2009";0,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2008";3,07;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2009";3,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2008";5,67;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2009";5,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";138,01;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";151,76;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2008";9,13;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 125ml";"cena";"2009";9,09;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2008";13,25;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2009";15,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2008";19,28;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"ser dojrzewający - za 1kg";"cena";"2009";17,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"jaja kurze świeże - za 1szt";"cena";"2008";0,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"jaja kurze świeże - za 1szt";"cena";"2009";0,45;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2008";3,12;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"margaryna - za 400 g";"cena";"2009";3,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2008";5,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"kawa naturalna mielona - za 250g";"cena";"2009";5,85;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2008";143,35;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2009";154,17;"zł";"";
