"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2014";15,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2015";15,19;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2014";24,32;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"ser dojrzewający - za 1kg";"cena";"2015";21,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2014";0,56;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"jaja kurze świeże - za 1szt";"cena";"2015";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2014";3,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"margaryna - za 400 g";"cena";"2015";3,50;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2014";5,10;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pomarańcze - za 1kg";"cena";"2015";5,18;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2014";6,97;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"kawa naturalna mielona - za 250g";"cena";"2015";6,91;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2014";192,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2015";184,42;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2014";5,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"olej napędowy - za 1l";"cena";"2015";4,63;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 100 ml";"cena";"2014";8,29;"zł";"";
0200000;"DOLNOŚLĄSKIE";"styczeń";"pasta do zębów - za 100 ml";"cena";"2015";8,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2014";15,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2015";14,62;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2014";24,26;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"ser dojrzewający - za 1kg";"cena";"2015";20,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2014";0,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"jaja kurze świeże - za 1szt";"cena";"2015";0,54;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2014";3,53;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"margaryna - za 400 g";"cena";"2015";3,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2014";4,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pomarańcze - za 1kg";"cena";"2015";4,82;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2014";6,94;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"kawa naturalna mielona - za 250g";"cena";"2015";6,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2014";189,23;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2015";181,95;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"olej napędowy - za 1l";"cena";"2014";5,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"olej napędowy - za 1l";"cena";"2015";4,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 100 ml";"cena";"2014";8,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"luty";"pasta do zębów - za 100 ml";"cena";"2015";8,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2014";14,52;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2015";14,48;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2014";24,30;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"ser dojrzewający - za 1kg";"cena";"2015";20,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2014";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"jaja kurze świeże - za 1szt";"cena";"2015";0,55;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2014";3,57;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"margaryna - za 400 g";"cena";"2015";3,58;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2014";4,89;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pomarańcze - za 1kg";"cena";"2015";4,70;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2014";6,69;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"kawa naturalna mielona - za 250g";"cena";"2015";6,73;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2014";181,99;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę";"cena";"2015";185,40;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"olej napędowy - za 1l";"cena";"2014";5,43;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"olej napędowy - za 1l";"cena";"2015";4,80;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 100 ml";"cena";"2014";8,41;"zł";"";
0200000;"DOLNOŚLĄSKIE";"marzec";"pasta do zębów - za 100 ml";"cena";"2015";8,38;"zł";"";
0200000;"DOLNOŚLĄSKIE";"kwiecień";"mięso wieprzowe z kością (schab środkowy) - za 1kg";"cena";"2014";14,50;"zł";"";
